,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
42,Suicide Squad,2016,"Action, Adventure, Fantasy",6.1,40,521890,936662225
43,Deadpool 2,2018,"Action, Adventure, Comedy",7.8,66,365627,936662225
44,Thor: Ragnarok,2017,"Action, Adventure, Comedy",7.9,74,447007,936662225
45,Iron Man 2,2010,"Action, Adventure, Sci-Fi",7,57,640701,936662225
46,Skyfall,2012,"Action, Adventure, Thriller",7.8,81,588069,936662225
47,The Hobbit: An Unexpected Journey,2012,"Adventure, Family, Fantasy",7.9,58,715079,936662225
48,Harry Potter and the Half-Blood Prince,2009,"Adventure, Family, Fantasy",7.6,78,412448,936662225
49,The Twilight Saga: Eclipse,2010,"Adventure, Drama, Fantasy",5,58,209691,936662225
50,The Twilight Saga: New Moon,2009,"Adventure, Drama, Fantasy",4.7,44,246587,936662225
51,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy, Mystery",7.7,65,418952,936662225
52,Up,2009,"Animation, Adventure, Comedy",8.3,88,832824,936662225
53,Inception,2010,"Action, Adventure, Sci-Fi",8.8,74,1812491,936662225
54,The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure, Drama, Fantasy",5.5,52,213065,936662225
55,Man of Steel,2013,"Action, Adventure, Sci-Fi",7.1,55,639940,936662225
56,The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure, Sci-Fi",6.6,65,247661,936662225
57,The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure, Drama, Fantasy",4.9,45,206457,936662225
58,The Hangover,2009,Comedy,7.7,73,663903,936662225
59,Gravity,2013,"Drama, Sci-Fi, Thriller",7.7,96,701279,936662225
60,The Grinch,2018,"Animation, Comedy, Family",6.3,51,26884,936662225
61,Sing,2016,"Animation, Comedy, Family",7.1,59,113182,936662225
62,Monsters University,2013,"Animation, Adventure, Comedy",7.3,65,288243,936662225
63,Despicable Me 3,2017,"Animation, Action, Adventure",6.3,49,89080,936662225
64,The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",7,66,519636,936662225
65,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",7.8,70,645914,936662225
66,The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",7.8,66,560786,936662225
67,The Lego Movie,2014,"Animation, Action, Adventure",7.8,83,300395,936662225
68,Star Trek,2009,"Action, Adventure, Sci-Fi",8,82,553886,936662225
69,The Blind Side,2009,"Biography, Drama, Sport",7.7,53,264410,936662225
70,The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy",7.4,59,433778,936662225
71,The Hangover Part II,2011,"Comedy, Mystery",6.5,44,429058,936662225
